code,description,brochures,product_url
10-296-15-04,"Disposable scalpel, figure 15 C, sterile",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-296-15-04/
10-500-19-07,"Amputation knife, acc. to Liston, with hollow handle, cutting length 190 mm, length 32 cm",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-500-19-07/
10-560-06-07,"Resection knife, solid handle with scraper end, cutting length 65 mm, length 19 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-560-06-07/
10-878-00-07,"Dermatome, acc. to Humby, complete, length 32 cm",Plastic Surgery; General Surgery,https://www.klsmartin.com/shop/en/products/product/10-878-00-07/
10-878-01-07,Spare blade for 10-878-00-07,90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/10-878-01-07/
10-880-00-07,"Dermatome, acc. to Schink, complete with 2 skin fixing plates and one blade, length 30 cm",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/10-880-00-07/
10-880-01-07,Spare blade for 10-880-00-07,Plastic Surgery; General Surgery,https://www.klsmartin.com/shop/en/products/product/10-880-01-07/
10-880-02-07,Skinstraightening plate for 10-880-00-07,Plastic Surgery; General Surgery,https://www.klsmartin.com/shop/en/products/product/10-880-02-07/
10-880-91-98,Cap for Pole for Schick dermatome,How to find us (https://www.klsmartin.com/fileadmin/user_upload/Homepage/Company/Locations/KLS_Martin_WORLD_How_to_find_us.pdf),https://www.klsmartin.com/shop/en/products/product/10-880-91-98/
10-882-19-07,"Dermatome, silver, length 19.5 cm",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/10-882-19-07/
